STATE,YEAR,ENROLL,POLITICAL_AFFILIATION,INSTRUCTION_EXPENDITURE_PER_1000_STUDENTS,TOTAL_EXPENDITURE_PER_1000_STUDENTS,Expenditure_Type,Expenditure
Washington,1993,896197.0,Democratic,3100.0639368353163,6462.235423684748,INSTRUCTION_EXPENDITURE,2778268
West_Virginia,1993,317719.0,Republican,3221.390599869696,5759.328211406934,INSTRUCTION_EXPENDITURE,1023497
Wisconsin,1993,829085.0,Swing,3753.426970696611,6803.54607790516,INSTRUCTION_EXPENDITURE,3111910
Wyoming,1993,100313.0,Republican,3330.2862041809135,6128.886584988985,INSTRUCTION_EXPENDITURE,334071
Alabama,1994,730004.0,Republican,2325.4571207829,4251.026021775223,INSTRUCTION_EXPENDITURE,1697593
Alaska,1994,123868.0,Republican,4167.678496463978,9010.882552394485,INSTRUCTION_EXPENDITURE,516242
Arizona,1994,708482.0,Swing,2332.184868493483,5368.34951346682,INSTRUCTION_EXPENDITURE,1652311
Arkansas,1994,312695.0,Republican,2610.435088504773,4624.263259725932,INSTRUCTION_EXPENDITURE,816270
California,1994,4120498.0,Democratic,3019.9903021430905,5584.928812002821,INSTRUCTION_EXPENDITURE,12443864
Colorado,1994,549570.0,Swing,2864.3557690558073,5665.802354568117,INSTRUCTION_EXPENDITURE,1574164
Connecticut,1994,479522.0,Democratic,5070.201158653826,8617.644237386397,INSTRUCTION_EXPENDITURE,2431273
Delaware,1994,103782.0,Democratic,3988.3120386964983,7056.358520745409,INSTRUCTION_EXPENDITURE,413915
District_Of_Columbia,1994,80678.0,Democratic,4350.97548278341,9541.85775552195,INSTRUCTION_EXPENDITURE,351028
Florida,1994,2039884.0,Swing,2801.6911745962025,6112.638267666201,INSTRUCTION_EXPENDITURE,5715125
Georgia,1994,1235304.0,Swing,2840.7995116991447,5340.67646506447,INSTRUCTION_EXPENDITURE,3509251
Hawaii,1994,181212.0,Democratic,3395.304946692272,6325.557910072181,INSTRUCTION_EXPENDITURE,615270
Idaho,1994,236774.0,Republican,2275.5158927922826,4116.92584489851,INSTRUCTION_EXPENDITURE,538783
Illinois,1994,1875956.0,Democratic,3053.3626588256866,5727.057564249908,INSTRUCTION_EXPENDITURE,5727974
Indiana,1994,963071.0,Swing,3119.0068021983843,6293.860992595562,INSTRUCTION_EXPENDITURE,3003825
Iowa,1994,497925.0,Swing,3115.3707887734095,5972.931666415625,INSTRUCTION_EXPENDITURE,1551221
Kansas,1994,457744.0,Republican,2996.6968436505995,5774.389178230627,INSTRUCTION_EXPENDITURE,1371720
Kentucky,1994,490069.0,Republican,2673.5174026514633,4882.065586682692,INSTRUCTION_EXPENDITURE,1310208
Louisiana,1994,798312.0,Republican,2445.3922777059597,4433.831634749321,INSTRUCTION_EXPENDITURE,1952186
Maine,1994,211731.0,Democratic,3774.142662151504,6321.006371291875,INSTRUCTION_EXPENDITURE,799103
Maryland,1994,772638.0,Democratic,3640.672604764456,6714.247810747077,INSTRUCTION_EXPENDITURE,2812922
Massachusetts,1994,877384.0,Democratic,4030.5282521678078,7284.303110154733,INSTRUCTION_EXPENDITURE,3536321
Michigan,1994,1601845.0,Swing,3636.5110232263423,7506.303668582166,INSTRUCTION_EXPENDITURE,5825127
Minnesota,1994,802913.0,Democratic,3582.613558380547,6951.114255218186,INSTRUCTION_EXPENDITURE,2876527
Mississippi,1994,503374.0,Republican,2130.6801702114135,3813.887884555023,INSTRUCTION_EXPENDITURE,1072529
Missouri,1994,852324.0,Republican,2811.7605511519096,5368.338800737748,INSTRUCTION_EXPENDITURE,2396531
Montana,1994,163968.0,Republican,3099.9890222482436,5355.215651834504,INSTRUCTION_EXPENDITURE,508299
