jurisdiction,year,prisoner_count,state_population,prisoner_rate,Geographic Area Name,Education Level,Percentage,higher_education_rate,id
Louisiana,2016,15059,4686157.0,0.0032135073579481013,Louisiana,Bachelor's degree or higher,0.07424157502431986,0.4925129222688218,22
Maine,2016,2356,1330232.0,0.0017711196242459963,Maine,Less than high school graduate,0.11408306573979322,0.5785754613783126,23
Maine,2016,2356,1330232.0,0.0017711196242459963,Maine,High school graduate (includes equivalency),0.30734147288189423,0.5785754613783126,23
Maine,2016,2356,1330232.0,0.0017711196242459963,Maine,Some college or associate's degree,0.478968912099933,0.5785754613783126,23
Maine,2016,2356,1330232.0,0.0017711196242459963,Maine,Bachelor's degree or higher,0.09960654927837961,0.5785754613783126,23
Maryland,2016,20236,6024752.0,0.0033588104539406765,Maryland,Less than high school graduate,0.11640656140909067,0.5916118065324523,24
Maryland,2016,20236,6024752.0,0.0033588104539406765,Maryland,High school graduate (includes equivalency),0.2919816320584571,0.5916118065324523,24
Maryland,2016,20236,6024752.0,0.0033588104539406765,Maryland,Some college or associate's degree,0.4601029934596829,0.5916118065324523,24
Maryland,2016,20236,6024752.0,0.0033588104539406765,Maryland,Bachelor's degree or higher,0.1315088130727693,0.5916118065324523,24
Massachusetts,2016,9038,6823721.0,0.0013244972940716657,Massachusetts,Less than high school graduate,0.10498094339461284,0.6181309988397848,25
Massachusetts,2016,9038,6823721.0,0.0013244972940716657,Massachusetts,High school graduate (includes equivalency),0.2768880577656023,0.6181309988397848,25
Massachusetts,2016,9038,6823721.0,0.0013244972940716657,Massachusetts,Some college or associate's degree,0.45105431346334207,0.6181309988397848,25
Massachusetts,2016,9038,6823721.0,0.0013244972940716657,Massachusetts,Bachelor's degree or higher,0.1670766853764428,0.6181309988397848,25
Michigan,2016,41122,9933445.0,0.0041397521202362324,Michigan,Less than high school graduate,0.13325111416318636,0.5839186110299153,26
Michigan,2016,41122,9933445.0,0.0041397521202362324,Michigan,High school graduate (includes equivalency),0.28283027480689843,0.5839186110299153,26
Michigan,2016,41122,9933445.0,0.0041397521202362324,Michigan,Some college or associate's degree,0.4897953463415806,0.5839186110299153,26
Michigan,2016,41122,9933445.0,0.0041397521202362324,Michigan,Bachelor's degree or higher,0.09412326468833462,0.5839186110299153,26
Minnesota,2016,9509,5525050.0,0.0017210703975529633,Minnesota,Less than high school graduate,0.1243417364735234,0.6099981051484695,27
Minnesota,2016,9509,5525050.0,0.0017210703975529633,Minnesota,High school graduate (includes equivalency),0.2656601583780071,0.6099981051484695,27
Minnesota,2016,9509,5525050.0,0.0017210703975529633,Minnesota,Some college or associate's degree,0.4848273711303579,0.6099981051484695,27
Minnesota,2016,9509,5525050.0,0.0017210703975529633,Minnesota,Bachelor's degree or higher,0.12517073401811163,0.6099981051484695,27
Mississippi,2016,13720,2985415.0,0.004595675978046603,Mississippi,Less than high school graduate,0.16384399591244297,0.5476350097958174,28
Mississippi,2016,13720,2985415.0,0.004595675978046603,Mississippi,High school graduate (includes equivalency),0.2885209942917396,0.5476350097958174,28
Mississippi,2016,13720,2985415.0,0.004595675978046603,Mississippi,Some college or associate's degree,0.4903115785910946,0.5476350097958174,28
Mississippi,2016,13720,2985415.0,0.004595675978046603,Mississippi,Bachelor's degree or higher,0.05732343120472282,0.5476350097958174,28
Missouri,2016,32427,6091176.0,0.005323602535864996,Missouri,Less than high school graduate,0.13231667089571175,0.5659900194536074,29
Missouri,2016,32427,6091176.0,0.005323602535864996,Missouri,High school graduate (includes equivalency),0.30169330965068086,0.5659900194536074,29
Missouri,2016,32427,6091176.0,0.005323602535864996,Missouri,Some college or associate's degree,0.4690433900025374,0.5659900194536074,29
Missouri,2016,32427,6091176.0,0.005323602535864996,Missouri,Bachelor's degree or higher,0.09694662945106995,0.5659900194536074,29
Montana,2016,3199,1038656.0,0.0030799417709039376,Montana,Less than high school graduate,0.1446711428199766,0.5248206370013109,30
Montana,2016,3199,1038656.0,0.0030799417709039376,Montana,High school graduate (includes equivalency),0.33050822017871256,0.5248206370013109,30
Montana,2016,3199,1038656.0,0.0030799417709039376,Montana,Some college or associate's degree,0.4585588921020243,0.5248206370013109,30
Montana,2016,3199,1038656.0,0.0030799417709039376,Montana,Bachelor's degree or higher,0.06626174489928655,0.5248206370013109,30
Nebraska,2016,5167,1907603.0,0.002708634867946842,Nebraska,Less than high school graduate,0.11511841621593237,0.6244919392952791,31
Nebraska,2016,5167,1907603.0,0.002708634867946842,Nebraska,High school graduate (includes equivalency),0.26038964448878854,0.6244919392952791,31
Nebraska,2016,5167,1907603.0,0.002708634867946842,Nebraska,Some college or associate's degree,0.5177020427453658,0.6244919392952791,31
Nebraska,2016,5167,1907603.0,0.002708634867946842,Nebraska,Bachelor's degree or higher,0.10678989654991336,0.6244919392952791,31
